country,year,vaccine,method,population,urban_poor_vaccinated,urban_nonpoor_vaccinated,rural_vaccinated,total_vaccinated,overall_coverage,urban_poor_coverage,urban_nonpoor_coverage,rural_coverage
Global,2050,DTP1,historical_progress,131009719.5,37415909.1301878,50475098.87499544,39217238.35805522,127108246.36323847,97.02199718337575,97.00834247906305,99,94.60198160028763
Global,2050,DTP1,static,131009719.5,33358459.02785808,48043668.34646535,34964448.7963926,116366576.17071602,88.82285727717783,86.48857914125489,94.2310817078216,84.34316846844288
Global,2050,DTP3,historical_progress,131009719.5,37453944.266191274,50475098.87499544,39257104.63497607,127186147.77616277,97.0814594990128,97.10695629295766,99,94.69814922844402
Global,2050,DTP3,static,131009719.5,31387722.011113457,45205364.70805353,32898833.791347586,109491920.51051459,83.5754178608974,81.37904322723152,88.66413748253808,79.36037822410104
Global,2050,measles1,historical_progress,131270541,37270998.8128333,50575587.53378708,39065351.56475405,126911937.91137442,96.67967919121658,96.44063363002307,99,94.04835517271736
Global,2050,measles1,static,131270541,30922957.448216166,44535999.42051491,32411693.88035142,107870650.7490825,82.17430196245058,80.01474886670746,87.17771078161961,78.02992615479032
India,2024,DTP1,historical_progress,22649587,3457300.789490161,4262322.7827571845,13434002.911974855,21153626.4842222,93.39519737919372,90.4891597313159,93.98487782248151,93.98487782248151
India,2024,DTP1,static,22649587,3436794.4166088453,4237041.563203061,13354321.481351558,21028157.461163465,92.84124015666805,89.95243916109298,93.42742301389458,93.42742301389458
India,2024,DTP3,historical_progress,22649587,3395290.2804643926,4185873.3149543325,13193049.228871088,20774212.824289814,91.72005133819798,88.86613668590698,92.29915521130073,92.29915521130073
India,2024,DTP3,static,22649587,3362884.859262419,4145922.389800845,13067131.77207518,20575939.021138445,90.84465434684724,88.01797810386518,91.41823112112266,91.41823112112266
India,2024,measles1,historical_progress,22619175.5,3461105.845530638,4267013.834545416,13448788.184370995,21176907.86444705,93.62369492401281,90.71054746228668,94.21481805961564,94.21481805961564
India,2024,measles1,static,22619175.5,3432179.847989969,4231352.506290043,13336390.693133207,20999923.04741322,92.84124015666804,89.95243916109298,93.42742301389458,93.42742301389458
India,2025,DTP1,historical_progress,22618462.5,3517749.087115782,4336846.282977877,13384173.54303046,21238768.913124118,93.9001442433327,90.98604691893829,94.50096043125929,94.50096043125929
India,2025,DTP1,static,22618462.5,3477787.2152714594,4287579.410589607,13232128.410014085,20997495.035875153,92.83343213923206,89.95243916109298,93.42742301389458,93.42742301389458
India,2025,DTP3,historical_progress,22618462.5,3465642.140717078,4272606.392294876,13185919.376480613,20924167.909492567,92.50924066785073,89.63830864869053,93.10115721679668,93.10115721679668
India,2025,DTP3,static,22618462.5,3402996.092362396,4195373.401759723,12947566.508723462,20545936.00284558,90.83701424376473,88.01797810386518,91.41823112112266,91.41823112112266
India,2025,measles1,historical_progress,22592569,3529275.754690044,4351056.900104509,13428029.689494062,21308362.344288617,94.31580067007262,91.38880386303317,94.91927641844835,94.91927641844835
India,2025,measles1,static,22592569,3473805.8622834464,4282671.011644802,13216980.337195931,20973457.21112418,92.83343213923207,89.95243916109298,93.42742301389458,93.42742301389458
India,2026,DTP1,historical_progress,22564369.5,3579124.6930415956,4412513.01242137,13301351.916645776,21292989.622108743,94.36554219743984,91.44563837338809,94.9783065224704,94.9783065224704
India,2026,DTP1,static,22564369.5,3520681.8162962464,4340461.889244926,13084156.558204543,20945300.263745718,92.82466440618124,89.95243916109298,93.42742301389458,93.42742301389458
India,2026,DTP3,historical_progress,22564369.5,3535852.385596398,4359164.879552278,13140536.008026307,21035553.273174983,93.2246446025225,90.34004297853951,93.830000488748,93.830000488748
India,2026,DTP3,static,22564369.5,3444968.2288490157,4247118.622809552,12802776.847275414,20494863.69893398,90.82843506411284,88.01797810386518,91.41823112112266,91.41823112112266
India,2026,measles1,historical_progress,22565258.5,3600750.0658060024,4439173.787584336,13381719.804925064,21421643.6583154,94.93196658179387,91.99453618302645,95.548408993629,95.548408993629
India,2026,measles1,static,22565258.5,3520820.5255180877,4340632.896487984,13084672.053006213,20946125.475012284,92.82466440618123,89.95243916109298,93.42742301389458,93.42742301389458
India,2027,DTP1,historical_progress,22491527.5,3636275.8441359806,4482971.635550403,13201570.56127587,21320818.040962253,94.79488683444134,91.87037561881678,95.419451939632,95.419451939632
India,2027,DTP1,static,22491527.5,3560362.95094454,4389382.655633326,12925967.31803085,20875712.924608715,92.81589667313042,89.95243916109298,93.42742301389458,93.42742301389458
India,2027,DTP3,historical_progress,22491527.5,3600904.788277477,4439364.536713593,13073155.251283394,21113424.576274462,93.87279088214201,90.976727191953,94.4912806706708,94.4912806706708
India,2027,DTP3,static,22491527.5,3483796.005762937,4294987.329705727,12647989.52624524,20426772.861713905,90.81985588446095,88.01797810386518,91.41823112112266,91.41823112112266
India,2027,measles1,historical_progress,22513900,3666210.8222064665,4519876.882388929,13310250.084553802,21496337.7891492,95.48029345937043,92.53463680617212,96.10937443113461,96.10937443113461
India,2027,measles1,static,22513900,3563904.4720848897,4393748.809219966,12938824.879787054,20896478.16109191,92.81589667313041,89.95243916109298,93.42742301389458,93.42742301389458
India,2028,DTP1,historical_progress,22418008.5,3692049.7397233974,4551732.313408699,13096054.835754754,21339836.88888685,95.19060040006163,92.26259651586537,95.82682485808975,95.82682485808975
India,2028,DTP1,static,22418008.5,3599604.7383631677,4437761.774123387,12768143.54190645,20805510.054393005,92.8071289400796,89.95243916109298,93.42742301389458,93.42742301389458
India,2028,DTP3,historical_progress,22418008.5,3663675.531157542,4516751.2565158205,12995408.794261437,21175835.5819348,94.45903984707115,91.55353831217913,95.09037478119266,95.09037478119266
India,2028,DTP3,static,22418008.5,3522193.8837747127,4342326.037045466,12493559.80982244,20358079.730642617,90.81127670480906,88.01797810386518,91.41823112112266,91.41823112112266
