country,year,vaccine,method,population,urban_poor_population,urban_nonpoor_population,rural_population,urban_poor_zero_dose,urban_nonpoor_zero_dose,rural_zero_dose,total_zero_dose,overall_zero_dose_percent
Global,2041,measles1,static,132234152,36940023.9140099,48830586.20683902,46463541.8791511,7382556.547913197,6261198.990471461,10208074.461949423,23851830.00033408,18.03757171621903
Global,2042,DTP1,historical_progress,132857092.5,37336589.61382987,49354801.77412757,46165701.11204257,1766898.3218329311,493548.0177412762,3275702.256000325,5536148.595574533,4.166995145987055
Global,2042,DTP1,static,132857092.5,37336589.61382987,49354801.77412757,46165701.11204257,5044703.757027072,2847238.1876160316,7228086.048474694,15120027.993117798,11.380670545020243
Global,2042,DTP3,historical_progress,132857092.5,37336589.61382987,49354801.77412757,46165701.11204257,1919492.6281308697,493548.0177412762,3459700.749797478,5872741.395669624,4.420344661441108
Global,2042,DTP3,static,132857092.5,37336589.61382987,49354801.77412757,46165701.11204257,6952430.212417227,5594792.474880955,9528426.099717569,22075648.78701575,16.616086030195003
Global,2042,measles1,historical_progress,132444185.49999999,37220551.10269297,49201411.82141466,46022222.575892374,2263950.0770078143,492014.118214147,3871489.084986425,6627453.2802083865,5.003959407646769
Global,2042,measles1,static,132444185.49999999,37220551.10269297,49201411.82141466,46022222.575892374,7438620.611068674,6308747.323268186,10111116.285130316,23858484.219467178,18.013991425442516
Global,2043,DTP1,historical_progress,132889522.49999999,37568303.00392776,49661100.99842672,45660118.4976455,1679196.215043577,496611.00998426764,3122883.613279817,5298690.838307662,3.987290147955541
Global,2043,DTP1,static,132889522.49999999,37568303.00392776,49661100.99842672,45660118.4976455,5076011.528349264,2864908.339595426,7148927.830285703,15089847.698230393,11.355182420969564
Global,2043,DTP3,historical_progress,132889522.49999999,37568303.00392776,49661100.99842672,45660118.4976455,1798196.3277829655,496611.00998426764,3263927.406223401,5558734.743990634,4.182974428244059
Global,2043,DTP3,static,132889522.49999999,37568303.00392776,49661100.99842672,45660118.4976455,6995577.462624071,5629514.133839559,9424075.76034131,22049167.35680494,16.5921036828204
Global,2043,measles1,historical_progress,132576150,37479711.57240164,49543993.01970982,45552445.40788853,2133195.5512332236,495439.93019709864,3658311.2579095475,6286946.7393398695,4.742140075224594
Global,2043,measles1,static,132576150,37479711.57240164,49543993.01970982,45552445.40788853,7490414.481778174,6352674.075321385,10007905.894411936,23850994.451511495,17.990411134665997
Global,2044,DTP1,historical_progress,132891323,37791414.672699645,49956029.70776049,45143878.61953987,1595280.895783486,499560.2970776053,2978203.900019356,5073045.092880447,3.8174389255500505
